Infinitive,выноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вынося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вынося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выношу́сь
2nd Sing,выно́сишься
3rd Sing,выно́сится
1st Pl,выно́симся
2nd Pl,выно́ситесь
3rd Pl,выно́сятся
Past M,выноси́лся
Past F,выноси́лась
Past N,выноси́лось
Past PL,выноси́лись
Imp S,выноси́сь
Imp PL,выноси́тесь
