Infinitive,выбега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выбега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выбега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выбега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выбега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выбега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выбега́ю
2nd Sing,выбега́ешь
3rd Sing,выбега́ет
1st Pl,выбега́ем
2nd Pl,выбега́ете
3rd Pl,выбега́ют
Past M,выбега́л
Past F,выбега́ла
Past N,выбега́ло
Past PL,выбега́ли
Imp S,выбега́й
Imp PL,выбега́йте
