Infinitive,вы́крутиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́крутившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́крутившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́кручусь
2nd Sing,вы́крутишься
3rd Sing,вы́крутится
1st Pl,вы́крутимся
2nd Pl,вы́крутитесь
3rd Pl,вы́крутятся
Past M,вы́крутился
Past F,вы́крутилась
Past N,вы́крутилось
Past PL,вы́крутились
Imp S,вы́крутись
Imp PL,вы́крутитесь
