Infinitive,вы́разиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́разившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́разившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́ражусь
2nd Sing,вы́разишься
3rd Sing,вы́разится
1st Pl,вы́разимся
2nd Pl,вы́разитесь
3rd Pl,вы́разятся
Past M,вы́разился
Past F,вы́разилась
Past N,вы́разилось
Past PL,вы́разились
Imp S,вы́разись
Imp PL,вы́разитесь
