Infinitive,вы́лезти
Zaliznyak Class,7a③
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́лезший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лезши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́лезу
2nd Sing,вы́лезешь
3rd Sing,вы́лезет
1st Pl,вы́лезем
2nd Pl,вы́лезете
3rd Pl,вы́лезут
Past M,вы́лез
Past F,вы́лезла
Past N,вы́лезло
Past PL,вы́лезли
Imp S,вы́лези
Imp PL,вы́лезьте
