Infinitive,выра́внивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выра́внивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выра́внивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выра́вниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выра́внивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выра́внивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выра́внивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выра́вниваю
2nd Sing,выра́вниваешь
3rd Sing,выра́внивает
1st Pl,выра́вниваем
2nd Pl,выра́вниваете
3rd Pl,выра́внивают
Past M,выра́внивал
Past F,выра́внивала
Past N,выра́внивало
Past PL,выра́внивали
Imp S,выра́внивай
Imp PL,выра́внивайте
