Infinitive,выпуска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выпуска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпуска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпуска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпуска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выпуска́юсь
2nd Sing,выпуска́ешься
3rd Sing,выпуска́ется
1st Pl,выпуска́емся
2nd Pl,выпуска́етесь
3rd Pl,выпуска́ются
Past M,выпуска́лся
Past F,выпуска́лась
Past N,выпуска́лось
Past PL,выпуска́лись
Imp S,выпуска́йся
Imp PL,выпуска́йтесь
