Infinitive,вы́ругаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́ругавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ругавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́ругаюсь
2nd Sing,вы́ругаешься
3rd Sing,вы́ругается
1st Pl,вы́ругаемся
2nd Pl,вы́ругаетесь
3rd Pl,вы́ругаются
Past M,вы́ругался
Past F,вы́ругалась
Past N,вы́ругалось
Past PL,вы́ругались
Imp S,вы́ругайся
Imp PL,вы́ругайтесь
