Infinitive,вы́резать
Zaliznyak Class,6a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́резавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́резанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́резав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́резавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́режу
2nd Sing,вы́режешь
3rd Sing,вы́режет
1st Pl,вы́режем
2nd Pl,вы́режете
3rd Pl,вы́режут
Past M,вы́резал
Past F,вы́резала
Past N,вы́резало
Past PL,вы́резали
Imp S,вы́режи
Imp PL,вы́режьте
