Infinitive,вы́ловить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ловивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ловленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ловив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ловивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ловлю
2nd Sing,вы́ловишь
3rd Sing,вы́ловит
1st Pl,вы́ловим
2nd Pl,вы́ловите
3rd Pl,вы́ловят
Past M,вы́ловил
Past F,вы́ловила
Past N,вы́ловило
Past PL,вы́ловили
Imp S,вы́лови
Imp PL,вы́ловите
