Infinitive,высыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,высыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,высыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,высыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,высыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,высыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,высыха́ю
2nd Sing,высыха́ешь
3rd Sing,высыха́ет
1st Pl,высыха́ем
2nd Pl,высыха́ете
3rd Pl,высыха́ют
Past M,высыха́л
Past F,высыха́ла
Past N,высыха́ло
Past PL,высыха́ли
Imp S,высыха́й
Imp PL,высыха́йте
