Infinitive,вы́вернуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́вернувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́вернутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́вернув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́вернувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́верну
2nd Sing,вы́вернешь
3rd Sing,вы́вернет
1st Pl,вы́вернем
2nd Pl,вы́вернете
3rd Pl,вы́вернут
Past M,вы́вернул
Past F,вы́вернула
Past N,вы́вернуло
Past PL,вы́вернули
Imp S,вы́верни
Imp PL,вы́верните
