Infinitive,выставля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выставля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выставля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выставля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выставля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выставля́юсь
2nd Sing,выставля́ешься
3rd Sing,выставля́ется
1st Pl,выставля́емся
2nd Pl,выставля́етесь
3rd Pl,выставля́ются
Past M,выставля́лся
Past F,выставля́лась
Past N,выставля́лось
Past PL,выставля́лись
Imp S,выставля́йся
Imp PL,выставля́йтесь
