Infinitive,вы́скочить
Zaliznyak Class,4a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́скочивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́скочив
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́скочивши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́скочу
2nd Sing,вы́скочишь
3rd Sing,вы́скочит
1st Pl,вы́скочим
2nd Pl,вы́скочите
3rd Pl,вы́скочат
Past M,вы́скочил
Past F,вы́скочила
Past N,вы́скочило
Past PL,вы́скочили
Imp S,вы́скочи
Imp PL,вы́скочите
