Infinitive,вы́колоть
Zaliznyak Class,10a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́коловший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́колотый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́колов
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́коловши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́колю
2nd Sing,вы́колешь
3rd Sing,вы́колет
1st Pl,вы́колем
2nd Pl,вы́колете
3rd Pl,вы́колют
Past M,вы́колол
Past F,вы́колола
Past N,вы́кололо
Past PL,вы́кололи
Imp S,вы́коли
Imp PL,вы́колите
