Infinitive,вы́делать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́делавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́деланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́делав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́делавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́делаю
2nd Sing,вы́делаешь
3rd Sing,вы́делает
1st Pl,вы́делаем
2nd Pl,вы́делаете
3rd Pl,вы́делают
Past M,вы́делал
Past F,вы́делала
Past N,вы́делало
Past PL,вы́делали
Imp S,вы́делай
Imp PL,вы́делайте
