Infinitive,вы́свободиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́свободившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́свободившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́свобожусь
2nd Sing,вы́свободишься
3rd Sing,вы́свободится
1st Pl,вы́свободимся
2nd Pl,вы́свободитесь
3rd Pl,вы́свободятся
Past M,вы́свободился
Past F,вы́свободилась
Past N,вы́свободилось
Past PL,вы́свободились
Imp S,вы́свободись
Imp PL,вы́свободитесь
