Infinitive,вы́рвать
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́рвавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́рвав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́рвавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́рву
2nd Sing,вы́рвешь
3rd Sing,вы́рвет
1st Pl,вы́рвем
2nd Pl,вы́рвете
3rd Pl,вы́рвут
Past M,вы́рвал
Past F,вы́рвала
Past N,вы́рвало
Past PL,вы́рвали
Imp S,вы́рви
Imp PL,вы́рвите
