Infinitive,выходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выхожу́
2nd Sing,выхо́дишь
3rd Sing,выхо́дит
1st Pl,выхо́дим
2nd Pl,выхо́дите
3rd Pl,выхо́дят
Past M,выходи́л
Past F,выходи́ла
Past N,выходи́ло
Past PL,выходи́ли
Imp S,выходи́
Imp PL,выходи́те
