Infinitive,вы́считать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́считавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́считанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́считав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́считавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́считаю
2nd Sing,вы́считаешь
3rd Sing,вы́считает
1st Pl,вы́считаем
2nd Pl,вы́считаете
3rd Pl,вы́считают
Past M,вы́считал
Past F,вы́считала
Past N,вы́считало
Past PL,вы́считали
Imp S,вы́считай
Imp PL,вы́считайте
