Infinitive,выбра́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выбра́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выбра́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выбра́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выбра́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выбра́сываюсь
2nd Sing,выбра́сываешься
3rd Sing,выбра́сывается
1st Pl,выбра́сываемся
2nd Pl,выбра́сываетесь
3rd Pl,выбра́сываются
Past M,выбра́сывался
Past F,выбра́сывалась
Past N,выбра́сывалось
Past PL,выбра́сывались
Imp S,выбра́сывайся
Imp PL,выбра́сывайтесь
