Infinitive,вы́пить
Zaliznyak Class,11a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́пивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́питый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́пив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́пивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пью
2nd Sing,вы́пьешь
3rd Sing,вы́пьет
1st Pl,вы́пьем
2nd Pl,вы́пьете
3rd Pl,вы́пьют
Past M,вы́пил
Past F,вы́пила
Past N,вы́пило
Past PL,вы́пили
Imp S,вы́пей
Imp PL,вы́пейте
