Infinitive,вы́весить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́весивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́вешенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́весив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́весивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́вешу
2nd Sing,вы́весишь
3rd Sing,вы́весит
1st Pl,вы́весим
2nd Pl,вы́весите
3rd Pl,вы́весят
Past M,вы́весил
Past F,вы́весила
Past N,вы́весило
Past PL,вы́весили
Imp S,вы́веси
Imp PL,вы́весите
