Infinitive,вы́смотреть
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́смотревший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́смотренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́смотрев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́смотревши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́смотрю
2nd Sing,вы́смотришь
3rd Sing,вы́смотрит
1st Pl,вы́смотрим
2nd Pl,вы́смотрите
3rd Pl,вы́смотрят
Past M,вы́смотрел
Past F,вы́смотрела
Past N,вы́смотрело
Past PL,вы́смотрели
Imp S,вы́смотри
Imp PL,вы́смотрите
