Infinitive,вы́терпеть
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́терпевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́терпев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́терпевши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́терплю
2nd Sing,вы́терпишь
3rd Sing,вы́терпит
1st Pl,вы́терпим
2nd Pl,вы́терпите
3rd Pl,вы́терпят
Past M,вы́терпел
Past F,вы́терпела
Past N,вы́терпело
Past PL,вы́терпели
Imp S,вы́терпи
Imp PL,вы́терпите
