Infinitive,выкру́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выкру́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выкру́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выкру́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выкру́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выкру́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выкру́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выкру́чиваю
2nd Sing,выкру́чиваешь
3rd Sing,выкру́чивает
1st Pl,выкру́чиваем
2nd Pl,выкру́чиваете
3rd Pl,выкру́чивают
Past M,выкру́чивал
Past F,выкру́чивала
Past N,выкру́чивало
Past PL,выкру́чивали
Imp S,выкру́чивай
Imp PL,выкру́чивайте
