Infinitive,вы́ручить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ручивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́рученный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ручив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ручивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ручу
2nd Sing,вы́ручишь
3rd Sing,вы́ручит
1st Pl,вы́ручим
2nd Pl,вы́ручите
3rd Pl,вы́ручат
Past M,вы́ручил
Past F,вы́ручила
Past N,вы́ручило
Past PL,вы́ручили
Imp S,вы́ручи
Imp PL,вы́ручите
