Infinitive,вы́браться
Zaliznyak Class,6°a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́бравшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́бравшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́берусь
2nd Sing,вы́берешься
3rd Sing,вы́берется
1st Pl,вы́беремся
2nd Pl,вы́беретесь
3rd Pl,вы́берутся
Past M,вы́брался
Past F,вы́бралась
Past N,вы́бралось
Past PL,вы́брались
Imp S,вы́берись
Imp PL,вы́беритесь
