Infinitive,выража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выража́юсь
2nd Sing,выража́ешься
3rd Sing,выража́ется
1st Pl,выража́емся
2nd Pl,выража́етесь
3rd Pl,выража́ются
Past M,выража́лся
Past F,выража́лась
Past N,выража́лось
Past PL,выража́лись
Imp S,выража́йся
Imp PL,выража́йтесь
