Infinitive,вы́стлать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́стлавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́стланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́стлав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́стлавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́стелю
2nd Sing,вы́стелешь
3rd Sing,вы́стелет
1st Pl,вы́стелем
2nd Pl,вы́стелете
3rd Pl,вы́стелют
Past M,вы́стлал
Past F,вы́стлала
Past N,вы́стлало
Past PL,вы́стлали
Imp S,вы́стели
Imp PL,вы́стелите
