Infinitive,вы́манить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́манивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́маненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́манив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́манивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́маню
2nd Sing,вы́манишь
3rd Sing,вы́манит
1st Pl,вы́маним
2nd Pl,вы́маните
3rd Pl,вы́манят
Past M,вы́манил
Past F,вы́манила
Past N,вы́манило
Past PL,вы́манили
Imp S,вы́мани
Imp PL,вы́маните
