Infinitive,вы́удить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́удивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́уженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́удив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́удивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ужу
2nd Sing,вы́удишь
3rd Sing,вы́удит
1st Pl,вы́удим
2nd Pl,вы́удите
3rd Pl,вы́удят
Past M,вы́удил
Past F,вы́удила
Past N,вы́удило
Past PL,вы́удили
Imp S,вы́уди
Imp PL,вы́удите
