Infinitive,вы́жечь
Zaliznyak Class,8a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́жегший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́жженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́жегши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́жгу
2nd Sing,вы́жжешь
3rd Sing,вы́жжет
1st Pl,вы́жжем
2nd Pl,вы́жжете
3rd Pl,вы́жгут
Past M,вы́жег
Past F,вы́жгла
Past N,вы́жгло
Past PL,вы́жгли
Imp S,вы́жги
Imp PL,вы́жгите
