Infinitive,выку́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выку́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выку́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выку́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выку́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выку́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выку́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выку́риваю
2nd Sing,выку́риваешь
3rd Sing,выку́ривает
1st Pl,выку́риваем
2nd Pl,выку́риваете
3rd Pl,выку́ривают
Past M,выку́ривал
Past F,выку́ривала
Past N,выку́ривало
Past PL,выку́ривали
Imp S,выку́ривай
Imp PL,выку́ривайте
