Infinitive,выгора́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выгора́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выгора́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выгора́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выгора́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выгора́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выгора́ю
2nd Sing,выгора́ешь
3rd Sing,выгора́ет
1st Pl,выгора́ем
2nd Pl,выгора́ете
3rd Pl,выгора́ют
Past M,выгора́л
Past F,выгора́ла
Past N,выгора́ло
Past PL,выгора́ли
Imp S,выгора́й
Imp PL,выгора́йте
