Infinitive,вы́лить
Zaliznyak Class,11a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́литый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́лив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́лью
2nd Sing,вы́льешь
3rd Sing,вы́льет
1st Pl,вы́льем
2nd Pl,вы́льете
3rd Pl,вы́льют
Past M,вы́лил
Past F,вы́лила
Past N,вы́лило
Past PL,вы́лили
Imp S,вы́лей
Imp PL,вы́лейте
