Infinitive,вы́лететь
Zaliznyak Class,5a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вы́летевший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́летев
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вы́летевши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вы́лечу
2nd Sing,вы́летишь
3rd Sing,вы́летит
1st Pl,вы́летим
2nd Pl,вы́летите
3rd Pl,вы́летят
Past M,вы́летел
Past F,вы́летела
Past N,вы́летело
Past PL,вы́летели
Imp S,вы́лети
Imp PL,вы́летите
