Infinitive,вы́вернуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́вернувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́вернувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́вернусь
2nd Sing,вы́вернешься
3rd Sing,вы́вернется
1st Pl,вы́вернемся
2nd Pl,вы́вернетесь
3rd Pl,вы́вернутся
Past M,вы́вернулся
Past F,вы́вернулась
Past N,вы́вернулось
Past PL,вы́вернулись
Imp S,вы́вернись
Imp PL,вы́вернитесь
