Infinitive,вы́курить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́куривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́куренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́курив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́куривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́курю
2nd Sing,вы́куришь
3rd Sing,вы́курит
1st Pl,вы́курим
2nd Pl,вы́курите
3rd Pl,вы́курят
Past M,вы́курил
Past F,вы́курила
Past N,вы́курило
Past PL,вы́курили
Imp S,вы́кури
Imp PL,вы́курите
