Infinitive,вы́броситься
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́бросившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́бросившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́брошусь
2nd Sing,вы́бросишься
3rd Sing,вы́бросится
1st Pl,вы́бросимся
2nd Pl,вы́броситесь
3rd Pl,вы́бросятся
Past M,вы́бросился
Past F,вы́бросилась
Past N,вы́бросилось
Past PL,вы́бросились
Imp S,вы́бросись
Imp PL,вы́бросьтесь
