Infinitive,вы́мазать
Zaliznyak Class,6a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́мазавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́мазанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́мазав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́мазавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́мажу
2nd Sing,вы́мажешь
3rd Sing,вы́мажет
1st Pl,вы́мажем
2nd Pl,вы́мажете
3rd Pl,вы́мажут
Past M,вы́мазал
Past F,вы́мазала
Past N,вы́мазало
Past PL,вы́мазали
Imp S,вы́мажи
Imp PL,вы́мажьте
