Infinitive,выделя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выделя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выделя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выделя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выделя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выделя́юсь
2nd Sing,выделя́ешься
3rd Sing,выделя́ется
1st Pl,выделя́емся
2nd Pl,выделя́етесь
3rd Pl,выделя́ются
Past M,выделя́лся
Past F,выделя́лась
Past N,выделя́лось
Past PL,выделя́лись
Imp S,выделя́йся
Imp PL,выделя́йтесь
