Infinitive,вызыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вызыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вызыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вызыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вызыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вызыва́юсь
2nd Sing,вызыва́ешься
3rd Sing,вызыва́ется
1st Pl,вызыва́емся
2nd Pl,вызыва́етесь
3rd Pl,вызыва́ются
Past M,вызыва́лся
Past F,вызыва́лась
Past N,вызыва́лось
Past PL,вызыва́лись
Imp S,вызыва́йся
Imp PL,вызыва́йтесь
