Infinitive,вы́просить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́просивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́прошенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́просив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́просивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́прошу
2nd Sing,вы́просишь
3rd Sing,вы́просит
1st Pl,вы́просим
2nd Pl,вы́просите
3rd Pl,вы́просят
Past M,вы́просил
Past F,вы́просила
Past N,вы́просило
Past PL,вы́просили
Imp S,вы́проси
Imp PL,вы́просите
