Infinitive,вы́молвить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́молвивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́молвленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́молвив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́молвивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́молвлю
2nd Sing,вы́молвишь
3rd Sing,вы́молвит
1st Pl,вы́молвим
2nd Pl,вы́молвите
3rd Pl,вы́молвят
Past M,вы́молвил
Past F,вы́молвила
Past N,вы́молвило
Past PL,вы́молвили
Imp S,вы́молви
Imp PL,вы́молвите
