Infinitive,вы́говорить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́говоривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́говоренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́говорив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́говоривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́говорю
2nd Sing,вы́говоришь
3rd Sing,вы́говорит
1st Pl,вы́говорим
2nd Pl,вы́говорите
3rd Pl,вы́говорят
Past M,вы́говорил
Past F,вы́говорила
Past N,вы́говорило
Past PL,вы́говорили
Imp S,вы́говори
Imp PL,вы́говорите
