Infinitive,вы́валить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́валивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́валенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́валив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́валивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́валю
2nd Sing,вы́валишь
3rd Sing,вы́валит
1st Pl,вы́валим
2nd Pl,вы́валите
3rd Pl,вы́валят
Past M,вы́валил
Past F,вы́валила
Past N,вы́валило
Past PL,вы́валили
Imp S,вы́вали
Imp PL,вы́валите
