Infinitive,выпрямля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выпрямля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выпрямля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выпрямля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выпрямля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выпрямля́юсь
2nd Sing,выпрямля́ешься
3rd Sing,выпрямля́ется
1st Pl,выпрямля́емся
2nd Pl,выпрямля́етесь
3rd Pl,выпрямля́ются
Past M,выпрямля́лся
Past F,выпрямля́лась
Past N,выпрямля́лось
Past PL,выпрямля́лись
Imp S,выпрямля́йся
Imp PL,выпрямля́йтесь
