Infinitive,вы́работать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́работавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́работанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́работав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́работавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́работаю
2nd Sing,вы́работаешь
3rd Sing,вы́работает
1st Pl,вы́работаем
2nd Pl,вы́работаете
3rd Pl,вы́работают
Past M,вы́работал
Past F,вы́работала
Past N,вы́работало
Past PL,вы́работали
Imp S,вы́работай
Imp PL,вы́работайте
