Infinitive,вы́лечиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́лечившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лечившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́лечусь
2nd Sing,вы́лечишься
3rd Sing,вы́лечится
1st Pl,вы́лечимся
2nd Pl,вы́лечитесь
3rd Pl,вы́лечатся
Past M,вы́лечился
Past F,вы́лечилась
Past N,вы́лечилось
Past PL,вы́лечились
Imp S,вы́лечись
Imp PL,вы́лечитесь
