Infinitive,вы́рубиться
Zaliznyak Class,4a②
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́рубившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́рубившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́рублюсь
2nd Sing,вы́рубишься
3rd Sing,вы́рубится
1st Pl,вы́рубимся
2nd Pl,вы́рубитесь
3rd Pl,вы́рубятся
Past M,вы́рубился
Past F,вы́рубилась
Past N,вы́рубилось
Past PL,вы́рубились
Imp S,вы́рубься
Imp PL,вы́рубьтесь
