Infinitive,вы́швырнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́швырнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́швырнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́швырнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́швырнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́швырну
2nd Sing,вы́швырнешь
3rd Sing,вы́швырнет
1st Pl,вы́швырнем
2nd Pl,вы́швырнете
3rd Pl,вы́швырнут
Past M,вы́швырнул
Past F,вы́швырнула
Past N,вы́швырнуло
Past PL,вы́швырнули
Imp S,вы́швырни
Imp PL,вы́швырните
