Infinitive,вы́есть
Zaliznyak Class,irreg-a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́евший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́еденный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ев
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́евши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ем
2nd Sing,вы́ешь
3rd Sing,вы́ест
1st Pl,вы́едим
2nd Pl,вы́едите
3rd Pl,вы́едят
Past M,вы́ел
Past F,вы́ела
Past N,вы́ело
Past PL,вы́ели
Imp S,вы́ешь
Imp PL,вы́ешьте
