Infinitive,выду́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выду́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выду́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выду́мываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выду́мывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выду́мывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выду́мывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выду́мываю
2nd Sing,выду́мываешь
3rd Sing,выду́мывает
1st Pl,выду́мываем
2nd Pl,выду́мываете
3rd Pl,выду́мывают
Past M,выду́мывал
Past F,выду́мывала
Past N,выду́мывало
Past PL,выду́мывали
Imp S,выду́мывай
Imp PL,выду́мывайте
