Infinitive,вы́делиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́делившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́делившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́делюсь
2nd Sing,вы́делишься
3rd Sing,вы́делится
1st Pl,вы́делимся
2nd Pl,вы́делитесь
3rd Pl,вы́делятся
Past M,вы́делился
Past F,вы́делилась
Past N,вы́делилось
Past PL,вы́делились
Imp S,вы́делись
Imp PL,вы́делитесь
