Infinitive,вы́ставить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́ставивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́ставленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́ставив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́ставивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́ставлю
2nd Sing,вы́ставишь
3rd Sing,вы́ставит
1st Pl,вы́ставим
2nd Pl,вы́ставите
3rd Pl,вы́ставят
Past M,вы́ставил
Past F,вы́ставила
Past N,вы́ставило
Past PL,вы́ставили
Imp S,вы́стави
Imp PL,вы́ставьте
