Infinitive,вы́думать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́думавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́думанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́думав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́думавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́думаю
2nd Sing,вы́думаешь
3rd Sing,вы́думает
1st Pl,вы́думаем
2nd Pl,вы́думаете
3rd Pl,вы́думают
Past M,вы́думал
Past F,вы́думала
Past N,вы́думало
Past PL,вы́думали
Imp S,вы́думай
Imp PL,вы́думайте
