Infinitive,вы́пятить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́пятивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́пяченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́пятив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́пятивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́пячу
2nd Sing,вы́пятишь
3rd Sing,вы́пятит
1st Pl,вы́пятим
2nd Pl,вы́пятите
3rd Pl,вы́пятят
Past M,вы́пятил
Past F,вы́пятила
Past N,вы́пятило
Past PL,вы́пятили
Imp S,вы́пяти
Imp PL,вы́пятите
