Infinitive,вы́ясниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́яснившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́яснившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́яснюсь
2nd Sing,вы́яснишься
3rd Sing,вы́яснится
1st Pl,вы́яснимся
2nd Pl,вы́яснитесь
3rd Pl,вы́яснятся
Past M,вы́яснился
Past F,вы́яснилась
Past N,вы́яснилось
Past PL,вы́яснились
Imp S,вы́яснись
Imp PL,вы́яснитесь
