Infinitive,вытря́хивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вытря́хивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вытря́хивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вытря́хиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вытря́хивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вытря́хивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вытря́хивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вытря́хиваю
2nd Sing,вытря́хиваешь
3rd Sing,вытря́хивает
1st Pl,вытря́хиваем
2nd Pl,вытря́хиваете
3rd Pl,вытря́хивают
Past M,вытря́хивал
Past F,вытря́хивала
Past N,вытря́хивало
Past PL,вытря́хивали
Imp S,вытря́хивай
Imp PL,вытря́хивайте
