Infinitive,вы́сморкаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́сморкавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сморкавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́сморкаюсь
2nd Sing,вы́сморкаешься
3rd Sing,вы́сморкается
1st Pl,вы́сморкаемся
2nd Pl,вы́сморкаетесь
3rd Pl,вы́сморкаются
Past M,вы́сморкался
Past F,вы́сморкалась
Past N,вы́сморкалось
Past PL,вы́сморкались
Imp S,вы́сморкайся
Imp PL,вы́сморкайтесь
