Infinitive,вы́стоять
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́стоявший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́стоянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́стояв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́стоявши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́стою
2nd Sing,вы́стоишь
3rd Sing,вы́стоит
1st Pl,вы́стоим
2nd Pl,вы́стоите
3rd Pl,вы́стоят
Past M,вы́стоял
Past F,вы́стояла
Past N,вы́стояло
Past PL,вы́стояли
Imp S,вы́стой
Imp PL,вы́стойте
