Infinitive,вы́лупить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́лупивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́лупленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́лупив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́лупивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́луплю
2nd Sing,вы́лупишь
3rd Sing,вы́лупит
1st Pl,вы́лупим
2nd Pl,вы́лупите
3rd Pl,вы́лупят
Past M,вы́лупил
Past F,вы́лупила
Past N,вы́лупило
Past PL,вы́лупили
Imp S,вы́лупи
Imp PL,вы́лупите
