Infinitive,выде́лывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,выде́лывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выде́лывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выде́лываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выде́лывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,выде́лывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,выде́лывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,выде́лываю
2nd Sing,выде́лываешь
3rd Sing,выде́лывает
1st Pl,выде́лываем
2nd Pl,выде́лываете
3rd Pl,выде́лывают
Past M,выде́лывал
Past F,выде́лывала
Past N,выде́лывало
Past PL,выде́лывали
Imp S,выде́лывай
Imp PL,выде́лывайте
